cluster,property_a,property_b,edge_type,direction,connection,est_overflow_rooms,overflow_semantic,source
# edge_type: compound | walkway | skybridge | walking-distance | shuttle | sister-brand | conv-center-anchor | neighbor
# direction: push-out(a overflows to b) | pull-in(a draws from b) | bidirectional
# connection: physical link + rough time/distance. est_overflow_rooms: rough capacity that can shift across the edge (Ryan rule: 100+ to a sister/neighbor, esp. by a conv center w/ walkways).
# ================= ORLANDO =================
OCCC,Hyatt Regency Orlando,Orange County Convention Center,conv-center-anchor,push-out,across I-Drive / walk ~5min,exhibit,anchors 315k + overflows exhibit demand to OCCC,Ryan
OCCC,Hilton Orlando,Orange County Convention Center,conv-center-anchor,push-out,near-OCCC / walk ~8min,exhibit,anchors 249k + OCCC overflow,Ryan
OCCC,Hyatt Regency Orlando,Hilton Orlando,neighbor,bidirectional,~0.4mi,150+,Ryan: Hyatt and Hilton cross-push blocks (both by OCCC),Ryan
OCCC,Rosen Centre Hotel,Orange County Convention Center,walkway,push-out,connected,exhibit,connected to OCCC,rosencentre
OCCC,Rosen Plaza Hotel,Orange County Convention Center,skybridge,push-out,Gary Sain Skybridge covered,exhibit,direct covered walkway to OCCC,rosenplaza
OCCC,Rosen Centre Hotel,Rosen Plaza Hotel,sister-brand,bidirectional,~0.3mi,200+,Rosen cross-pushes across its OCCC hotels,Ryan
OCCC,Rosen Centre Hotel,Rosen Shingle Creek,sister-brand,bidirectional,~2mi shuttle,300+,Rosen multi-hotel block-stretch,Ryan
OCCC,Rosen Plaza Hotel,Rosen Shingle Creek,sister-brand,bidirectional,~2mi shuttle,300+,Rosen multi-hotel block-stretch,Ryan
Bonnet Creek,Signia by Hilton Orlando Bonnet Creek,Waldorf Astoria Orlando,compound,bidirectional,shared campus / walk ~3min,200+,Ryan: Signia + Waldorf are a COMPOUND (shared conv space),Ryan
Bonnet Creek,Signia by Hilton Orlando Bonnet Creek,JW Marriott Orlando Bonnet Creek,neighbor,bidirectional,~1mi,100+,Bonnet Creek pocket neighbor,inferred
Bonnet Creek,Signia by Hilton Orlando Bonnet Creek,Wyndham Grand Orlando Bonnet Creek,neighbor,bidirectional,~1mi,100+,Bonnet Creek pocket neighbor,inferred
EPCOT resorts,Walt Disney World Swan and Dolphin,Disney's BoardWalk Inn,walking-distance,bidirectional,~0.3mi Crescent Lake,150+,Ryan: Swan/Dolphin walk to BoardWalk,Ryan
EPCOT resorts,Walt Disney World Swan and Dolphin,Disney's Yacht & Beach Club,walking-distance,bidirectional,~0.4mi Crescent Lake,150+,Ryan: Swan/Dolphin walk to Yacht & Beach,Ryan
