property,market,brand_chain,total_event_sqft,guest_rooms,meeting_rooms,largest_ballroom_sqft,breakout_rooms,outdoor_sqft,proposed_archetype,multiroom_connected_notes,source,notes
Hyatt Regency Orlando (ex-Peabody),Orlando,Hyatt,315000,1641,,54638,105,52000,convention,5 pillar-free ballrooms same level; 20k rotunda; connected to OCCC across I-Drive,cvent+hyatt.com,Ryan worked through the Peabody->Hyatt Regency rebrand Oct 1 2013
Hilton Orlando,Orlando,Hilton,249000,1424,71,49128,42,63000,convention,3 grand ballrooms 50k/30k/15k,cvent,I-Drive; Ryan first-hand
Signia by Hilton Orlando Bonnet Creek,Orlando,Hilton,231000,,34,35925,,,convention,3 ballrooms (Bonnet Creek 35925 / Waterside 35098 / Floridian 27300); connected to Waldorf Astoria (sister),cvent+hilton.com,guest room count needs Tier-2 fill (~1009)
Disney's Coronado Springs (Gran Destino),Lake Buena Vista,Disney,228000,2416,45,60214,45,,convention,Coronado Ballroom 60214 (6680 pax) + Fiesta 21160 + exhibit hall; one contiguous level,cvent+disneymeetings,largest Disney convention resort; +545 rooms Gran Destino tower
Disney's Contemporary Resort,Lake Buena Vista,Disney,115000,,,42336,15,,convention,Fantasia Ballroom 42336 (4720 pax) subdivides to 15 breakouts,cvent+disneymeetings,guest room count needs Tier-2 fill (~655)
Disney's Yacht & Beach Club,Lake Buena Vista,Disney,100000,1190,,36120,,,convention,Grand Harbor Ballroom 36120 + Newport 16000 (8 rooms); recent +28k expansion,cvent+disneymeetings,Ryan first-hand
Waldorf Astoria Orlando,Orlando,Hilton,120000,502,14,8436,14,,luxury-meeting,Central Park Ballroom 8436 + Grand 7945; sister to Signia Bonnet Creek,cvent+hilton.com,171 suites
Loews Portofino Bay,Orlando,Loews (Universal),42000,795,,15040,,,luxury-resort,Tuscan Ballroom 15040 (27ft ceil) + Venetian 7670 (5 sections),cvent+loewshotels,750 rooms + 45 suites; Ryan first-hand
Disney's Grand Floridian,Lake Buena Vista,Disney,40000,865,,18216,6,,luxury-resort,Grand Floridian Ballroom 18216 (2000 pax / 9 sections) + St. Augustine 5858,cvent+disneymeetings,flagship Disney luxury
Four Seasons Resort Orlando,Lake Buena Vista,Four Seasons,37750,443,8,14000,,9900,luxury-resort,Grand Ballroom 14000 + Junior 6200; 2 event lawns + terraces,cvent+fourseasons,INTERNAL ONLY — Ryan still employed by FS; keep out of any public content/book
Disney's BoardWalk Inn,Lake Buena Vista,Disney,20000,372,,10132,8,,boutique-meeting,Promenade Ballroom 10132 (6 salons / up to 8 breakouts),cvent+disneymeetings,smallest Disney convention property
Hard Rock Hotel Orlando,Orlando,Loews (Universal),20000,650,,2964,,9900,boutique-meeting,Avalon Ballroom 2964 (300 pax) + pre-function; sqft sources vary 7k-72k incl outdoor,cvent+loewshotels,"Ryan: ""very limited sqft/rooms"" archetype; 29 suites"
Hard Rock Live Orlando,Orlando,Universal CityWalk,,,,,,,entertainment-venue,"Live venue + Lennon VIP room upstairs + convertible cafe rooms + full property buyout — the ""multi-room animal""",Ryan first-hand,no standard capacity chart; venue archetype from Ryan's knowledge
Disney's Riviera Resort,Lake Buena Vista,Disney,,,,,,,non-convention,character dining (Topolino's) — NOT a convention property,Ryan first-hand,Ryan opened Topolino's/Riviera 2019 — excluded from meeting harvest
Disney's Polynesian,Lake Buena Vista,Disney,,,,,,,non-convention,character dining ('Ohana) — NOT a convention property,Ryan first-hand,Ryan 'Ohana 2021 — excluded from meeting harvest
